Level,State/UT,Year,District/Block,Rainfall (mm),Recharge (ham),Natural Discharge (ham),Extractable (ham),Extraction (ham),Stage (%),Status
District/Block,Karnataka,2023-2024,Belagavi,845.01,,,108655.71,78095.88,71.87,Semi-Critical
District/Block,Karnataka,2023-2024,Bengaluru (Rural),834.65,,,15752.4,23164.46,147.05,Over-Exploited
District/Block,Karnataka,2023-2024,Bengaluru (Urban),784.7,,,28565.58,53332.51,186.7,Over-Exploited
District/Block,Karnataka,2023-2024,Bengaluru South,922.55,,,43176.27,42286.6,97.94,Critical
District/Block,Karnataka,2023-2024,Bidar,850.23,,,33757.1,20394.95,60.42,Safe
District/Block,Karnataka,2023-2024,Chamarajanagara,1105.27,,,34136.97,32793.77,96.07,Critical
District/Block,Karnataka,2023-2024,Chikkaballapura,919.22,,,30561.29,50221.99,164.33,Over-Exploited
District/Block,Karnataka,2023-2024,Chikkamagaluru,1244.7,,,60817.27,33809.68,55.59,Safe
District/Block,Karnataka,2023-2024,Chitradurga,569.35,,,35861.46,51798.27,144.44,Over-Exploited
District/Block,Karnataka,2023-2024,Dakshina Kannada,4060.45,,,67397.96,29852.52,44.29,Safe
District/Block,Karnataka,2023-2024,Davanagere,732.57,,,55387.52,50229.49,90.69,Critical
District/Block,Karnataka,2023-2024,Dharwad,770.68,,,29153.1,16127.94,55.32,Safe
District/Block,Karnataka,2023-2024,Gadag,710.9,,,29875.57,24299.19,81.33,Semi-Critical
District/Block,Karnataka,2023-2024,Hassan,931.94,,,76572.08,50316.17,65.71,Safe
District/Block,Karnataka,2023-2024,Haveri,823.72,,,51519.57,36400.31,70.65,Semi-Critical
District/Block,Karnataka,2023-2024,Kalburgi,837.58,,,64712.9,28176.45,43.54,Safe
District/Block,Karnataka,2023-2024,Kodagu,2215.34,,,21995.53,7794.32,35.44,Safe
District/Block,Karnataka,2023-2024,Kolara,822.04,,,37087.58,71709.3,193.35,Over-Exploited
District/Block,Karnataka,2023-2024,Koppal,627.31,,,58646.01,37216.5,63.46,Safe
District/Block,Karnataka,2023-2024,Mandya,733.24,,,64983.63,41485.25,63.84,Safe
District/Block,Karnataka,2023-2024,Mysuru,811.5,,,61955.7,31959.81,51.58,Safe
District/Block,Karnataka,2023-2024,Raichur,552.42,,,71350.36,33819.44,47.4,Safe
District/Block,Karnataka,2023-2024,Shivamogga,1916.53,,,99325.95,40827.72,41.1,Safe
District/Block,Karnataka,2023-2024,Tumakuru,745.35,,,76273.27,69300.46,90.86,Critical
District/Block,Karnataka,2023-2024,Udupi,4419.64,,,46689.95,16071.36,34.42,Safe
District/Block,Karnataka,2023-2024,Uttara Kannada,2600.68,,,82649.02,26608.93,32.2,Safe
District/Block,Karnataka,2023-2024,Vijayanagara,661.19,,,36049.18,31814.78,88.25,Semi-Critical
District/Block,Karnataka,2023-2024,Vijayapura,612.68,,,88570.84,39030.19,44.07,Safe
District/Block,Karnataka,2023-2024,Yadgir,836.99,,,54050.99,20282.24,37.52,Safe
District/Block,Kerala,2023-2024,ALAPPUZHA,2688.5,,,35637.41,14257.91,40.01,Safe
District/Block,Kerala,2023-2024,ERNAKULAM,3146.2,,,47195.15,23401.37,49.58,Safe
District/Block,Kerala,2023-2024,IDUKKI,3606.9,,,19144.17,10126.96,52.9,Safe
District/Block,Kerala,2023-2024,KANNUR,3279.99,,,40609.53,20182.31,49.7,Safe
District/Block,Kerala,2023-2024,KASARGOD,3453.0,,,31704.84,23139.78,72.99,Semi-Critical
District/Block,Kerala,2023-2024,KOLLAM,2361.0,,,33809.73,16963.06,50.17,Safe
District/Block,Kerala,2023-2024,KOTTAYAM,2950.04,,,37768.01,13808.85,36.56,Safe
District/Block,Kerala,2023-2024,KOZHIKKODE,3366.45,,,31422.68,19480.57,62.0,Safe
District/Block,Kerala,2023-2024,MALAPPURAM,2763.56,,,47560.02,34811.41,73.19,Semi-Critical
District/Block,Kerala,2023-2024,PALAKKAD,2182.7,,,58416.54,34305.25,58.73,Safe
District/Block,Kerala,2023-2024,PATHANAMTHITTA,2776.4,,,23773.45,7649.73,32.18,Safe
District/Block,Kerala,2023-2024,THIRUVANANTHAPURAM,1808.7,,,26767.67,17684.3,66.07,Safe
District/Block,Kerala,2023-2024,THRISSUR,3006.16,,,57841.72,34472.21,59.6,Safe
District/Block,Kerala,2023-2024,WAYANAD,3060.4,,,21315.69,5604.11,26.29,Safe
District/Block,Ladakh,2023-2024,KARGIL,89.3,,,1404.78,479.72,34.15,Safe
District/Block,Ladakh,2023-2024,LEH,62.4,,,4662.92,1397.16,29.96,Safe
District/Block,Madhya Pradesh,2023-2024,AGAR MALWA,1036.1,,,41448.22,37316.95,90.03,Critical
District/Block,Madhya Pradesh,2023-2024,ALIRAJPUR,836.2,,,22005.87,9120.99,41.45,Safe
District/Block,Madhya Pradesh,2023-2024,ANUPPUR,1423.6,,,28238.41,7121.24,25.22,Safe
District/Block,Madhya Pradesh,2023-2024,ASHOKNAGAR,935.72,,,36992.54,23133.45,62.54,Safe
District/Block,Madhya Pradesh,2023-2024,BALAGHAT,1471.6,,,71905.86,16746.73,23.29,Safe
District/Block,Madhya Pradesh,2023-2024,BARWANI,742.5,,,53282.74,37324.82,70.05,Semi-Critical
District/Block,Madhya Pradesh,2023-2024,BETUL,1081.3,,,100139.54,48769.53,48.7,Safe
District/Block,Madhya Pradesh,2023-2024,BHIND,951.0,,,90366.5,29422.96,32.56,Safe
District/Block,Madhya Pradesh,2023-2024,BHOPAL,1106.7,,,37553.3,29776.53,79.29,Semi-Critical
District/Block,Madhya Pradesh,2023-2024,BURHANPUR,883.8,,,34227.25,24564.09,71.77,Semi-Critical
District/Block,Madhya Pradesh,2023-2024,CHHATARPUR,1095.1,,,83792.73,53773.06,64.17,Safe
District/Block,Madhya Pradesh,2023-2024,CHHINDWARA,1221.6,,,101671.1,62932.85,61.9,Safe
District/Block,Madhya Pradesh,2023-2024,DAMOH,1176.0,,,37629.53,21983.32,58.42,Safe
District/Block,Madhya Pradesh,2023-2024,DATIA,963.8,,,47093.81,17065.49,36.24,Safe
District/Block,Madhya Pradesh,2023-2024,DEWAS,1069.0,,,83477.67,65914.28,78.96,Semi-Critical
District/Block,Madhya Pradesh,2023-2024,DHAR,902.3,,,131206.6,86470.19,65.9,Safe
District/Block,Madhya Pradesh,2023-2024,DINDORI,1376.7,,,31195.49,4284.61,13.73,Safe
District/Block,Madhya Pradesh,2023-2024,GUNA,1082.0,,,84869.77,54827.81,64.6,Safe
District/Block,Madhya Pradesh,2023-2024,GWALIOR,879.0,,,77181.79,25832.14,33.47,Safe
District/Block,Madhya Pradesh,2023-2024,HARDA,1374.5,,,45328.04,16320.27,36.0,Safe
District/Block,Madhya Pradesh,2023-2024,HOSHANGABAD,1437.7,,,177429.31,44759.7,25.23,Safe
District/Block,Madhya Pradesh,2023-2024,INDORE,941.4,,,54343.51,64580.35,118.84,Over-Exploited
District/Block,Madhya Pradesh,2023-2024,JABALPUR,1227.3,,,61176.52,32584.75,53.26,Safe
District/Block,Madhya Pradesh,2023-2024,JHABUA,849.1,,,25879.42,10959.0,42.35,Safe
District/Block,Madhya Pradesh,2023-2024,KATNI,1171.4,,,39438.3,18734.47,47.5,Safe
District/Block,Madhya Pradesh,2023-2024,KHANDWA,950.3,,,113880.01,45302.1,39.78,Safe
District/Block,Madhya Pradesh,2023-2024,KHARGONE,950.3,,,95285.05,42562.7,44.67,Safe
District/Block,Madhya Pradesh,2023-2024,MANDLA,1445.1,,,45263.46,9951.18,21.99,Safe
District/Block,Madhya Pradesh,2023-2024,MANDSAUR,880.9,,,65882.14,67072.34,101.81,Over-Exploited
District/Block,Madhya Pradesh,2023-2024,MORENA,753.0,,,67576.52,28935.1,42.82,Safe
District/Block,Madhya Pradesh,2023-2024,NARSINGHPUR,1243.1,,,119778.25,78440.93,65.49,Safe
District/Block,Madhya Pradesh,2023-2024,NEEMUCH,850.2,,,37191.72,37760.5,101.53,Over-Exploited
District/Block,Madhya Pradesh,2023-2024,NIWARI,1070.3,,,19168.47,12888.07,67.24,Safe
District/Block,Madhya Pradesh,2023-2024,PANNA,1182.9,,,51956.8,18936.85,36.45,Safe
District/Block,Madhya Pradesh,2023-2024,RAISEN,1237.6,,,91974.88,47455.51,51.6,Safe
District/Block,Madhya Pradesh,2023-2024,RAJGARH,999.6,,,89632.58,79340.82,88.52,Semi-Critical
District/Block,Madhya Pradesh,2023-2024,RATLAM,953.5,,,78884.9,105732.16,134.03,Over-Exploited
District/Block,Madhya Pradesh,2023-2024,REWA,1143.1,,,51557.71,28176.64,54.65,Safe
District/Block,Madhya Pradesh,2023-2024,SAGAR,1197.6,,,103451.02,61105.44,59.07,Safe
District/Block,Madhya Pradesh,2023-2024,SATNA,1075.5,,,74089.29,47589.17,64.23,Safe
District/Block,Madhya Pradesh,2023-2024,SEHORE,1217.7,,,67990.43,42500.94,62.51,Safe
District/Block,Madhya Pradesh,2023-2024,SEONI,1323.6,,,68251.02,29479.52,43.19,Safe
District/Block,Madhya Pradesh,2023-2024,SHAHDOL,1225.04,,,49100.59,7451.7,15.18,Safe
District/Block,Madhya Pradesh,2023-2024,SHAJAPUR,1036.1,,,53756.12,55988.06,104.15,Over-Exploited
District/Block,Madhya Pradesh,2023-2024,SHEOPUR,799.2,,,51351.73,19667.14,38.3,Safe
District/Block,Madhya Pradesh,2023-2024,SHIVPURI,994.9,,,82707.48,55271.56,66.83,Safe
District/Block,Madhya Pradesh,2023-2024,SIDHI,1154.15,,,28840.9,10891.78,37.77,Safe
District/Block,Madhya Pradesh,2023-2024,SINGRAULI,1175.6,,,35178.18,13966.08,39.7,Safe
District/Block,Madhya Pradesh,2023-2024,TIKAMGARH,1070.3,,,38819.36,30396.84,78.3,Semi-Critical
District/Block,Madhya Pradesh,2023-2024,UJJAIN,967.8,,,93741.4,99867.52,106.54,Over-Exploited
District/Block,Madhya Pradesh,2023-2024,UMARIA,1250.6,,,35520.71,6752.84,19.01,Safe
District/Block,Madhya Pradesh,2023-2024,VIDISHA,1135.3,,,90268.86,57220.31,63.39,Safe
District/Block,Maharashtra,2023-2024,Ahmednagar,573.23,,,152887.61,120785.1,79.0,Semi-Critical
District/Block,Maharashtra,2023-2024,Akola,782.04,,,36856.63,23799.2,64.57,Safe
District/Block,Maharashtra,2023-2024,Amravati,861.5,,,77822.22,61684.53,79.26,Semi-Critical
District/Block,Maharashtra,2023-2024,Aurangabad,670.41,,,112554.91,72814.94,64.69,Safe
District/Block,Maharashtra,2023-2024,Beed,695.78,,,123458.19,73383.42,59.44,Safe
District/Block,Maharashtra,2023-2024,Bhandara,1449.95,,,87273.37,26287.78,30.12,Safe
District/Block,Maharashtra,2023-2024,Buldhana,756.69,,,86320.68,64081.64,74.24,Semi-Critical
District/Block,Maharashtra,2023-2024,Chandrapur,1286.28,,,111137.71,32802.59,29.52,Safe
District/Block,Maharashtra,2023-2024,Dhule,643.36,,,69225.0,35720.96,51.6,Safe
District/Block,Maharashtra,2023-2024,Gadchiroli,1287.64,,,101426.6,26596.33,26.22,Safe
District/Block,Maharashtra,2023-2024,Gondia,1495.17,,,62050.44,16529.7,26.64,Safe
District/Block,Maharashtra,2023-2024,Hingoli,966.51,,,97779.37,38448.77,39.32,Safe
District/Block,Maharashtra,2023-2024,Jalgaon,687.25,,,136987.7,106450.16,77.71,Semi-Critical
District/Block,Maharashtra,2023-2024,Jalna,684.87,,,80351.24,41953.19,52.21,Safe
District/Block,Maharashtra,2023-2024,Kolhapur,1674.1,,,127793.68,54318.42,42.5,Safe
District/Block,Maharashtra,2023-2024,Latur,702.78,,,66923.59,35972.88,53.75,Safe
District/Block,Maharashtra,2023-2024,Mumbai,2205.0,,,1477.65,680.14,46.03,Safe
District/Block,Maharashtra,2023-2024,Mumbai Sub,2141.85,,,6795.68,1869.91,27.52,Safe
District/Block,Maharashtra,2023-2024,Nagpur,1164.94,,,97081.46,46466.69,47.86,Safe
District/Block,Maharashtra,2023-2024,Nanded,1025.17,,,119319.56,38252.33,32.06,Safe
District/Block,Maharashtra,2023-2024,Nandurbar,939.24,,,49060.49,20489.2,41.76,Safe
District/Block,Maharashtra,2023-2024,Nashik,981.6,,,189770.54,109442.36,57.67,Safe
District/Block,Maharashtra,2023-2024,Osmanabad,768.63,,,84683.13,50589.39,59.74,Safe
District/Block,Maharashtra,2023-2024,Palghar,2503.65,,,20754.02,4990.2,24.04,Safe
District/Block,Maharashtra,2023-2024,Parbhani,896.51,,,82906.21,38162.49,46.03,Safe
District/Block,Maharashtra,2023-2024,Pune,680.78,,,180459.33,116407.29,64.51,Safe
District/Block,Maharashtra,2023-2024,Raigad,3069.3,,,36137.84,6210.69,17.19,Safe
District/Block,Maharashtra,2023-2024,Ratnagiri,3455.58,,,38789.73,6934.64,17.88,Safe
District/Block,Maharashtra,2023-2024,Sangli,653.92,,,131740.92,70449.22,53.48,Safe
District/Block,Maharashtra,2023-2024,Satara,921.38,,,104697.58,65504.91,62.57,Safe
District/Block,Maharashtra,2023-2024,Sindhudurg,3463.12,,,22168.09,9652.54,43.54,Safe
District/Block,Maharashtra,2023-2024,Solapur,663.55,,,138855.1,107754.16,77.6,Semi-Critical
District/Block,Maharashtra,2023-2024,Thane,2526.54,,,16336.96,3137.24,19.2,Safe
District/Block,Maharashtra,2023-2024,Wardha,1039.23,,,84882.65,42567.91,50.15,Safe
District/Block,Maharashtra,2023-2024,Washim,911.16,,,59944.03,34228.39,57.1,Safe
District/Block,Maharashtra,2023-2024,Yawatmal,1008.84,,,118034.46,45000.38,38.12,Safe
District/Block,Manipur,2023-2024,BISHNUPUR,1987.59,,,10722.49,611.87,5.71,Safe
District/Block,Manipur,2023-2024,CHANDEL,0.0,,,0.0,,,
District/Block,Manipur,2023-2024,CHURACHANPUR,2133.46,,,7458.38,461.14,6.18,Safe
District/Block,Manipur,2023-2024,IMPHAL EAST,1717.14,,,13453.51,1085.39,8.07,Safe
District/Block,Manipur,2023-2024,IMPHAL WEST,1384.88,,,7829.45,865.36,11.05,Safe
District/Block,Manipur,2023-2024,SENAPATI,0.0,,,0.0,,,
District/Block,Manipur,2023-2024,TAMENGLONG,0.0,,,0.0,,,
District/Block,Manipur,2023-2024,THOUBAL,1276.78,,,7143.71,703.2,9.84,Safe
District/Block,Manipur,2023-2024,UKHRUL,0.0,,,0.0,,,
District/Block,Meghalaya,2023-2024,EAST GARO HILLS,2975.0,,,8484.58,339.06,4.0,Safe
District/Block,Meghalaya,2023-2024,EAST JAINTIA HILLS,2320.0,,,15258.63,190.47,1.25,Safe
District/Block,Meghalaya,2023-2024,EAST KHASI HILLS,4032.0,,,20424.6,651.38,3.19,Safe
District/Block,Meghalaya,2023-2024,NORTH GARO HILLS,2803.0,,,8350.81,409.37,4.9,Safe
District/Block,Meghalaya,2023-2024,RI BHOI,2030.0,,,5922.13,337.16,5.69,Safe
District/Block,Meghalaya,2023-2024,SOUTH GARO HILLS,4210.0,,,21176.55,251.54,1.19,Safe
District/Block,Meghalaya,2023-2024,SOUTH WEST GARO HILLS,1634.0,,,4442.18,763.99,17.2,Safe
District/Block,Meghalaya,2023-2024,SOUTH WEST KHASI HILLS,3918.0,,,12922.07,135.17,1.05,Safe
District/Block,Meghalaya,2023-2024,WEST GARO HILLS,2678.0,,,17582.3,2920.73,16.61,Safe
District/Block,Meghalaya,2023-2024,WEST JAINTIA HILLS,2320.0,,,10131.72,593.45,5.86,Safe
District/Block,Meghalaya,2023-2024,WEST KHASI HILLS,4062.0,,,28535.27,453.13,1.59,Safe
District/Block,Mizoram,2023-2024,AIZAWL,2262.0,,,1415.87,196.94,13.91,Safe
District/Block,Mizoram,2023-2024,CHAMPHAI,1745.0,,,1441.17,43.99,3.05,Safe
District/Block,Mizoram,2023-2024,KOLASIB,2242.0,,,2551.48,31.02,1.22,Safe
District/Block,Mizoram,2023-2024,LAWNGTLAI,2003.0,,,3004.02,101.85,3.39,Safe
District/Block,Mizoram,2023-2024,LUNGLEI,2168.0,,,4650.85,189.46,4.07,Safe
District/Block,Mizoram,2023-2024,MAMIT,2177.0,,,4491.1,100.28,2.23,Safe
District/Block,Mizoram,2023-2024,SAIHA,2249.0,,,690.46,39.81,5.77,Safe
District/Block,Mizoram,2023-2024,SERCHHIP,1686.0,,,784.96,47.51,6.05,Safe
District/Block,Odisha,2023-2024,ANGUL,1290.86,,,54706.08,29762.39,54.4,Safe
District/Block,Odisha,2023-2024,BALASORE,1715.34,,,130843.74,77286.75,59.07,Safe
District/Block,Odisha,2023-2024,BARGARH,1259.38,,,61261.2,34131.07,55.71,Safe
District/Block,Odisha,2023-2024,BHADRAK,1511.88,,,53414.9,32336.56,60.54,Safe
District/Block,Odisha,2023-2024,BOLANGIR,1226.93,,,56852.11,29446.18,51.79,Safe
District/Block,Odisha,2023-2024,BOUDH,1312.14,,,23850.29,11200.59,46.96,Safe
District/Block,Odisha,2023-2024,CUTTACK,1577.94,,,69058.44,32463.05,47.01,Safe
District/Block,Odisha,2023-2024,DEOGARH,1317.69,,,29955.86,17648.31,58.91,Safe
District/Block,Odisha,2023-2024,DHENKANAL,1428.17,,,44823.82,17393.14,38.8,Safe
District/Block,Odisha,2023-2024,GAJAPATI,1379.91,,,20121.47,7278.99,36.18,Safe
District/Block,Odisha,2023-2024,GANJAM,1296.04,,,95375.79,41771.89,43.8,Safe
District/Block,Odisha,2023-2024,JAGATSINGHPUR,1475.25,,,45234.97,26657.53,58.93,Safe
District/Block,Odisha,2023-2024,JAJPUR,1644.91,,,52262.6,33915.21,64.89,Safe
District/Block,Odisha,2023-2024,JHARSUGUDA,1314.08,,,19489.18,9998.47,51.3,Safe
District/Block,Odisha,2023-2024,KALAHANDI,1479.63,,,62767.32,27880.41,44.42,Safe
District/Block,Odisha,2023-2024,KANDHAMAL,1648.77,,,34150.48,11104.11,32.52,Safe
District/Block,Odisha,2023-2024,KENDRAPARA,1540.17,,,16591.13,10625.45,64.04,Safe
District/Block,Odisha,2023-2024,KEONJHAR,1386.31,,,83705.71,38739.15,46.28,Safe
District/Block,Odisha,2023-2024,KHURDA,1429.01,,,42763.27,26999.57,63.14,Safe
District/Block,Odisha,2023-2024,KORAPUT,1519.37,,,51369.72,13431.59,26.15,Safe
District/Block,Odisha,2023-2024,MALKANGIRI,1476.39,,,33667.6,6813.88,20.24,Safe
District/Block,Odisha,2023-2024,MAYURBHANJ,1522.68,,,138171.27,62400.98,45.16,Safe
District/Block,Odisha,2023-2024,NABARANGAPUR,1570.81,,,54352.44,21239.51,39.08,Safe
District/Block,Odisha,2023-2024,NAYAGARH,1409.63,,,35847.6,17034.78,47.52,Safe
District/Block,Odisha,2023-2024,NUAPADA,1120.57,,,31030.29,19846.86,63.96,Safe
District/Block,Odisha,2023-2024,PURI,1520.62,,,59644.31,32296.79,54.15,Safe
District/Block,Odisha,2023-2024,RAYAGADA,1337.43,,,33008.78,11734.37,35.55,Safe
District/Block,Odisha,2023-2024,SAMBALPUR,1423.59,,,60756.4,21040.58,34.63,Safe
District/Block,Odisha,2023-2024,SUBARNAPUR,1335.28,,,25784.01,13383.52,51.91,Safe
District/Block,Odisha,2023-2024,SUNDARGARH,1279.92,,,83272.63,37757.09,45.34,Safe
District/Block,Puducherry,2023-2024,BAHOUR,1525.0,,,3294.68,2965.11,90.0,Semi-Critical
District/Block,Puducherry,2023-2024,OZHUKARAI,1525.0,,,2764.9,2327.68,84.19,Semi-Critical
District/Block,Puducherry,2023-2024,PUDUCHERRY,1525.0,,,2407.41,2442.26,101.45,Over-Exploited
District/Block,Puducherry,2023-2024,VILLIANUR,1525.0,,,4822.47,3812.37,79.05,Semi-Critical
District/Block,Punjab,2023-2024,Amritsar,646.27,,,133929.96,237200.12,177.11,Over-Exploited
District/Block,Punjab,2023-2024,Barnala,517.97,,,50959.06,111521.14,218.84,Over-Exploited
District/Block,Punjab,2023-2024,Bathinda,350.82,,,109006.01,118392.87,108.61,Over-Exploited
District/Block,Punjab,2023-2024,Faridkot,376.25,,,57246.5,70000.54,122.28,Over-Exploited
District/Block,Punjab,2023-2024,Fatehgarh Sahib,685.1,,,34885.84,72236.72,207.07,Over-Exploited
District/Block,Punjab,2023-2024,Fazilka,258.84,,,86444.22,53765.1,62.2,Safe
District/Block,Punjab,2023-2024,Firozpur,407.81,,,152981.31,169471.08,110.78,Over-Exploited
District/Block,Punjab,2023-2024,Gurdaspur,819.72,,,152576.64,208114.46,136.4,Over-Exploited
District/Block,Punjab,2023-2024,Hoshiarpur,840.13,,,81546.61,94792.59,116.24,Over-Exploited
District/Block,Punjab,2023-2024,Jalandhar,625.09,,,74700.79,190146.38,254.54,Over-Exploited
District/Block,Punjab,2023-2024,Kapurthala,620.45,,,71176.94,151281.48,212.54,Over-Exploited
District/Block,Punjab,2023-2024,Ludhiana,552.43,,,141103.68,313193.61,221.96,Over-Exploited
District/Block,Punjab,2023-2024,Malerkotla,570.22,,,19425.56,58790.8,302.65,Over-Exploited
District/Block,Punjab,2023-2024,Mansa,307.75,,,61811.63,63739.84,103.12,Over-Exploited
District/Block,Punjab,2023-2024,Moga,454.25,,,76337.2,174545.04,228.65,Over-Exploited
District/Block,Punjab,2023-2024,Muktsar,291.92,,,88448.19,20136.89,22.77,Safe
District/Block,Punjab,2023-2024,Pathankot,1156.97,,,43941.03,22584.21,51.4,Safe
District/Block,Punjab,2023-2024,Patiala,667.78,,,83373.78,178825.22,214.49,Over-Exploited
District/Block,Punjab,2023-2024,Rupnagar,839.74,,,39540.14,37990.56,96.08,Critical
District/Block,Punjab,2023-2024,SAS Nagar,727.98,,,21789.92,27720.09,127.22,Over-Exploited
District/Block,Punjab,2023-2024,SBS Nagar,761.29,,,49880.33,60770.97,121.83,Over-Exploited
District/Block,Punjab,2023-2024,Sangrur,495.82,,,63684.95,199484.52,313.24,Over-Exploited
District/Block,Punjab,2023-2024,Tarn Taran,544.85,,,68586.46,131448.19,191.65,Over-Exploited
District/Block,Rajasthan,2023-2024,AJMER,527.38,,,34229.38,47260.39,138.07,Over-Exploited
District/Block,Rajasthan,2023-2024,ALWAR,659.7,,,69534.11,130759.52,188.05,Over-Exploited
District/Block,Rajasthan,2023-2024,BANSWARA,962.71,,,20854.96,14427.9,69.18,Safe
District/Block,Rajasthan,2023-2024,BARAN,933.51,,,58262.32,78185.14,134.2,Over-Exploited
District/Block,Rajasthan,2023-2024,BARMER,328.65,,,35251.14,46541.65,132.03,Over-Exploited
District/Block,Rajasthan,2023-2024,BHARATPUR,648.31,,,36332.89,44862.24,123.48,Over-Exploited
District/Block,Rajasthan,2023-2024,BHILWARA,655.7,,,40901.56,64080.52,156.67,Over-Exploited
District/Block,Rajasthan,2023-2024,BIKANER,331.04,,,28104.6,39107.34,139.15,Over-Exploited
District/Block,Rajasthan,2023-2024,BUNDI,709.83,,,31919.76,32154.63,100.74,Over-Exploited
District/Block,Rajasthan,2023-2024,CHITTAURGARH,804.28,,,31270.77,50539.48,161.62,Over-Exploited
District/Block,Rajasthan,2023-2024,CHURU,210.68,,,15250.88,19657.07,128.89,Over-Exploited
District/Block,Rajasthan,2023-2024,DAUSA,660.05,,,24235.72,59063.15,243.7,Over-Exploited
District/Block,Rajasthan,2023-2024,DHAULPUR,710.08,,,25297.55,35353.0,139.75,Over-Exploited
District/Block,Rajasthan,2023-2024,DUNGARPUR,793.28,,,20232.32,12503.76,61.8,Safe
District/Block,Rajasthan,2023-2024,GANGANAGAR,245.9,,,43337.64,17344.72,40.02,Safe
District/Block,Rajasthan,2023-2024,HANUMANGARH,320.7,,,20543.84,13159.83,64.06,Safe
District/Block,Rajasthan,2023-2024,JAIPUR,591.22,,,67484.18,150366.0,222.82,Over-Exploited
District/Block,Rajasthan,2023-2024,JAISALMER,205.02,,,9541.72,34128.1,357.67,Over-Exploited
District/Block,Rajasthan,2023-2024,JALOR,486.42,,,44942.21,80081.09,178.19,Over-Exploited
District/Block,Rajasthan,2023-2024,JHALAWAR,965.11,,,50157.01,57682.43,115.0,Over-Exploited
District/Block,Rajasthan,2023-2024,JHUNJHUNU,503.36,,,22357.78,49096.49,219.59,Over-Exploited
District/Block,Rajasthan,2023-2024,JODHPUR,323.41,,,37528.63,96977.44,258.41,Over-Exploited
District/Block,Rajasthan,2023-2024,KARAULI,692.26,,,30828.0,49062.38,159.15,Over-Exploited
District/Block,Rajasthan,2023-2024,KOTA,825.79,,,46681.09,51425.78,110.16,Over-Exploited
District/Block,Rajasthan,2023-2024,NAGAUR,436.73,,,58044.65,106707.29,183.84,Over-Exploited
District/Block,Rajasthan,2023-2024,PALI,552.95,,,30827.92,48711.89,158.01,Over-Exploited
District/Block,Rajasthan,2023-2024,PRATAPGARH,1025.56,,,20692.7,26985.55,130.41,Over-Exploited
District/Block,Rajasthan,2023-2024,RAJSAMAND,641.66,,,10643.12,13318.93,125.14,Over-Exploited
District/Block,Rajasthan,2023-2024,SAWAI MADHOPUR,764.05,,,40775.93,64951.03,159.29,Over-Exploited
District/Block,Rajasthan,2023-2024,SIKAR,515.87,,,33895.28,65795.96,194.12,Over-Exploited
District/Block,Rajasthan,2023-2024,SIROHI,676.84,,,28026.32,32931.45,117.5,Over-Exploited
District/Block,Rajasthan,2023-2024,TONK,642.08,,,40086.8,41160.6,102.68,Over-Exploited
District/Block,Rajasthan,2023-2024,UDAIPUR,729.38,,,29388.32,30170.58,102.66,Over-Exploited
District/Block,Sikkim,2023-2024,Gangtok,2756.4,,,6134.97,408.17,6.65,Safe
District/Block,Sikkim,2023-2024,Gyalsingh,2041.7,,,3412.42,237.31,6.95,Safe
District/Block,Sikkim,2023-2024,Mangan,2738.8,,,3344.94,104.86,3.13,Safe
District/Block,Sikkim,2023-2024,Namchi,2203.5,,,3191.38,213.28,6.68,Safe
District/Block,Sikkim,2023-2024,Pakyong,2756.4,,,4520.53,219.65,4.86,Safe
District/Block,Sikkim,2023-2024,Soreng,2041.7,,,1143.87,89.8,7.85,Safe
District/Block,Tamil Nadu,2023-2024,ARIYALUR,956.97,,,34339.78,17926.61,52.2,Safe
District/Block,Tamil Nadu,2023-2024,CHENGALPATTU,1185.01,,,56583.85,38638.2,68.28,Safe
District/Block,Tamil Nadu,2023-2024,CHENNAI,1321.91,,,9296.52,11609.99,124.89,Over-Exploited
District/Block,Tamil Nadu,2023-2024,COIMBATORE,960.99,,,54421.92,47180.46,86.69,Semi-Critical
District/Block,Tamil Nadu,2023-2024,CUDDALORE,1262.93,,,100940.65,65583.44,64.97,Safe
District/Block,Tamil Nadu,2023-2024,DHARMAPURI,868.78,,,43029.84,41074.89,95.46,Critical
District/Block,Tamil Nadu,2023-2024,DINDIGUL,934.7,,,56087.7,62174.95,110.85,Over-Exploited
District/Block,Tamil Nadu,2023-2024,ERODE,716.92,,,66369.68,54124.99,81.55,Semi-Critical
District/Block,Tamil Nadu,2023-2024,KALLAKURICHCHI,1111.81,,,61034.42,50907.82,83.41,Semi-Critical
District/Block,Tamil Nadu,2023-2024,KANCHEEPURAM,1267.84,,,52255.09,25835.83,49.44,Safe
District/Block,Tamil Nadu,2023-2024,KANNIYAKUMARI,1260.59,,,29640.18,4940.63,16.67,Safe
District/Block,Tamil Nadu,2023-2024,KARUR,648.79,,,30795.17,29831.63,96.87,Critical
District/Block,Tamil Nadu,2023-2024,KRISHNAGIRI,792.98,,,43886.28,42081.02,95.89,Critical
District/Block,Tamil Nadu,2023-2024,MADURAI,852.28,,,73366.74,49119.7,66.95,Safe
District/Block,Tamil Nadu,2023-2024,MAYILADUTHURAI,1317.93,,,35536.8,43906.57,123.55,Over-Exploited
District/Block,Tamil Nadu,2023-2024,NAGAPATTINAM,0.0,,,0.0,,,
District/Block,Tamil Nadu,2023-2024,NAMAKKAL,747.23,,,54217.01,60918.67,112.36,Over-Exploited
